name,url,description,,omponent,location
dw_info,http://www.bitss.org/opa/projects/deworming/,Deworming project info,App,Main Policy Estimates Tab,
dw_repo,https://github.com/BITSS-OPA/opa-deworming,Deworming GitHub repo.,"App, Dynamic doc","Main Policy Estimates Tab, executive summary",
ev_action_dw,https://www.evidenceaction.org/dewormtheworld,Evidence Action deworming information.,,App,Main Policy Estimates Tab
ev_action_home,https://www.evidenceaction.org,Evidence Action home page,Dynamic doc,Executive summary,
ev_action_article,https://www.evidenceaction.org/what-is-the-cost-of-deworming-a-2016-update/#,Evidence Action home page,Dynamic doc,Costs section,
bitss_projects,https://www.bitss.org/opa/projects/,BITSS projects page,App,Main Policy Estimates Tab,
approach1,https://bitss-opa.github.io/opa-deworming/#21_Approach_1:_Baird_et_al_(2016),Approach 1,App,All Assumptions Tab,
approach2,https://bitss-opa.github.io/opa-deworming/#22_Approach_2:_Hamory_et_al_(2020),Approach 2,App,All Assumptions Tab,
approach3,https://bitss-opa.github.io/opa-deworming/#23_Approach_3:_Combination_of_Previous_Approaches_and_Input_From_Key_Policy_Partners,Approach 3,App,All Assumptions Tab,
bitss_home,https://www.bitss.org/,BITSS home page.,,"App, dynamic doc",Main Policy Estimates Tab
readme,https://github.com/BITSS-OPA/opa-deworming/blob/master/readme.md,Repo Readme,"App, dynamic doc",Main Policy Estimates Tab,
dw_repo_bitss,https://github.org/bitss/opa-deworming,Deworming repo,Dynamic doc,Executive summary,
results,https://bitss-opa.github.io/opa-deworming/#policy-estimate,Skip to result section.,Dynamic doc,Executive summary,
cega_cti,https://cega.berkeley.edu/initiative/cost-transparency-initiative/,Cost tranparency intitiative,Dynamic doc,Footnotes,
shiny_app,https://bitss-opa.shinyapps.io/dw-app/,Deworming Shiny app,"Repo, Dynamic doc","Read Me, executive summary",
shiny_code,https://github.com/BITSS-OPA/opa-deworming/tree/master/code/shiny_app,Code for deworming Shiny app,Repo,Read Me,
dw_dd_code,https://github.com/BITSS-OPA/opa-deworming/tree/master/code/01_final_opa.Rmd,Code for deworming dynamic document,Repo,Read Me,
opa_guidelines,https://www.bitss.org/opa/community-standards/,OPA guidelines,Repo,Read Me,
contributor_taxonomy,https://casrai.org/credit/,Contributor roles taxonomy description,Repo,Read Me,
dw_contributions,https://github.com/BITSS-OPA/opa-deworming/graphs/contributors,Deworming repo contributions,Repo,Read Me,
dw_dd,https://bitss-opa.github.io/opa-deworming/,Deworming dynamic document,"Repo, App","Read Me, Main Policy Estimates Tab",
bitss_opa,https://www.bitss.org/opa/,Information about OPA,"Repo, Dynamic doc","Read Me, Footnote",
cega_home,https://cega.berkeley.edu,CEGA home page,App,Main Policy Estimates Tab,
givewell_estimates,https://docs.google.com/spreadsheets/d/1jzS693Y-ZAIloQejlzSc3e3t7iPHyor1qt7HBjSVXhQ/edit#gid=509033857,Original GiveWell estimates for deworming cost per child,Dynamic doc,References,
binder,https://mybinder.org/v2/gh/BITSS-OPA/opa-deworming/master?urlpath=rstudio,Link to binder deployable,Repo,Read Me,
issues,https://github.com/BITSS-OPA/opa-deworming/blob/master/issue_template.md,Template for Github issues,"App, repo",Main Policy Estimates Tab,
